threshold,tp,fp,fn,precision,recall,f1
0.9893518090,0,1,2320,0.0000000000,0.0000000000,0.0000000000
0.9893144369,0,2,2320,0.0000000000,0.0000000000,0.0000000000
0.9892768860,0,3,2320,0.0000000000,0.0000000000,0.0000000000
0.9892488718,0,4,2320,0.0000000000,0.0000000000,0.0000000000
0.9891781807,0,5,2320,0.0000000000,0.0000000000,0.0000000000
0.9891391397,0,6,2320,0.0000000000,0.0000000000,0.0000000000
0.9891242981,0,7,2320,0.0000000000,0.0000000000,0.0000000000
0.9891037941,1,7,2319,0.1250000000,0.0004310345,0.0008591065
0.9890877008,2,7,2318,0.2222222222,0.0008620690,0.0017174753
0.9890766144,2,8,2318,0.2000000000,0.0008620690,0.0017167382
0.9890403748,2,9,2318,0.1818181818,0.0008620690,0.0017160017
0.9890227318,2,10,2318,0.1666666667,0.0008620690,0.0017152659
0.9890148044,2,11,2318,0.1538461538,0.0008620690,0.0017145306
0.9890083671,3,11,2317,0.2142857143,0.0012931034,0.0025706941
0.9890077114,4,11,2316,0.2666666667,0.0017241379,0.0034261242
0.9890062809,4,12,2316,0.2500000000,0.0017241379,0.0034246575
0.9890040755,5,12,2315,0.2941176471,0.0021551724,0.0042789902
0.9889991879,5,13,2315,0.2777777778,0.0021551724,0.0042771600
0.9889982343,6,13,2314,0.3157894737,0.0025862069,0.0051303976
0.9889937043,7,13,2313,0.3500000000,0.0030172414,0.0059829060
0.9889858961,8,13,2312,0.3809523810,0.0034482759,0.0068346860
0.9889813662,9,13,2311,0.4090909091,0.0038793103,0.0076857387
0.9889655113,9,14,2311,0.3913043478,0.0038793103,0.0076824584
0.9889547825,10,14,2310,0.4166666667,0.0043103448,0.0085324232
0.9889516234,11,14,2309,0.4400000000,0.0047413793,0.0093816631
0.9889464974,11,15,2309,0.4230769231,0.0047413793,0.0093776641
0.9889400601,11,16,2309,0.4074074074,0.0047413793,0.0093736685
0.9889391661,12,16,2308,0.4285714286,0.0051724138,0.0102214651
0.9889284372,13,16,2307,0.4482758621,0.0056034483,0.0110685398
0.9889273643,14,16,2306,0.4666666667,0.0060344828,0.0119148936
0.9889132380,15,16,2305,0.4838709677,0.0064655172,0.0127605274
0.9889093041,16,16,2304,0.5000000000,0.0068965517,0.0136054422
0.9889035821,17,16,2303,0.5151515152,0.0073275862,0.0144496388
0.9889025092,17,17,2303,0.5000000000,0.0073275862,0.0144435004
0.9888999462,18,17,2302,0.5142857143,0.0077586207,0.0152866242
0.9888994098,19,17,2301,0.5277777778,0.0081896552,0.0161290323
0.9888992906,20,17,2300,0.5405405405,0.0086206897,0.0169707255
0.9888970256,21,17,2299,0.5526315789,0.0090517241,0.0178117048
0.9888939261,21,18,2299,0.5384615385,0.0090517241,0.0178041543
0.9888906479,22,18,2298,0.5500000000,0.0094827586,0.0186440678
0.9888822436,23,18,2297,0.5609756098,0.0099137931,0.0194832698
0.9888811707,23,19,2297,0.5476190476,0.0099137931,0.0194750212
0.9888788462,24,19,2296,0.5581395349,0.0103448276,0.0203131612
0.9888766408,25,19,2295,0.5681818182,0.0107758621,0.0211505922
0.9888725877,26,19,2294,0.5777777778,0.0112068966,0.0219873150
0.9888719916,27,19,2293,0.5869565217,0.0116379310,0.0228233305
0.9888662696,28,19,2292,0.5957446809,0.0120689655,0.0236586396
0.9888651371,29,19,2291,0.6041666667,0.0125000000,0.0244932432
0.9888618588,29,20,2291,0.5918367347,0.0125000000,0.0244829042
0.9888272285,30,20,2290,0.6000000000,0.0129310345,0.0253164557
0.9888250232,31,20,2289,0.6078431373,0.0133620690,0.0261493041
0.9888201356,32,20,2288,0.6153846154,0.0137931034,0.0269814503
0.9888194203,33,20,2287,0.6226415094,0.0142241379,0.0278128951
0.9888188243,34,20,2286,0.6296296296,0.0146551724,0.0286436394
0.9888173342,35,20,2285,0.6363636364,0.0150862069,0.0294736842
0.9888172150,36,20,2284,0.6428571429,0.0155172414,0.0303030303
0.9888169765,37,20,2283,0.6491228070,0.0159482759,0.0311316786
0.9888142943,38,20,2282,0.6551724138,0.0163793103,0.0319596299
0.9888070822,39,20,2281,0.6610169492,0.0168103448,0.0327868852
0.9888051748,40,20,2280,0.6666666667,0.0172413793,0.0336134454
