threshold,tp,fp,fn,precision,recall,f1
0.9874929190,1,0,830,1.0000000000,0.0012033694,0.0024038462
0.9874904752,2,0,829,1.0000000000,0.0024067389,0.0048019208
0.9874535799,2,1,829,0.6666666667,0.0024067389,0.0047961631
0.9872756600,3,1,828,0.7500000000,0.0036101083,0.0071856287
0.9871015549,3,2,828,0.6000000000,0.0036101083,0.0071770335
0.9870796800,4,2,827,0.6666666667,0.0048134777,0.0095579450
0.9869949222,5,2,826,0.7142857143,0.0060168472,0.0119331742
0.9869512320,6,2,825,0.7500000000,0.0072202166,0.0143027414
0.9869465828,6,3,825,0.6666666667,0.0072202166,0.0142857143
0.9869459271,7,3,824,0.7000000000,0.0084235860,0.0166468490
0.9869399667,7,4,824,0.6363636364,0.0084235860,0.0166270784
0.9869357944,7,5,824,0.5833333333,0.0084235860,0.0166073547
0.9868886471,8,5,823,0.6153846154,0.0096269555,0.0189573460
0.9868755341,9,5,822,0.6428571429,0.0108303249,0.0213017751
0.9868707657,10,5,821,0.6666666667,0.0120336943,0.0236406619
0.9868102074,10,6,821,0.6250000000,0.0120336943,0.0236127509
0.9867859483,11,6,820,0.6470588235,0.0132370638,0.0259433962
0.9867291451,11,7,820,0.6111111111,0.0132370638,0.0259128386
0.9867280126,11,8,820,0.5789473684,0.0132370638,0.0258823529
0.9867259264,12,8,819,0.6000000000,0.0144404332,0.0282021152
0.9867218733,13,8,818,0.6190476190,0.0156438026,0.0305164319
0.9867208004,14,8,817,0.6363636364,0.0168471721,0.0328253224
0.9867146611,15,8,816,0.6521739130,0.0180505415,0.0351288056
0.9866989851,15,9,816,0.6250000000,0.0180505415,0.0350877193
0.9866983891,15,10,816,0.6000000000,0.0180505415,0.0350467290
0.9866961837,16,10,815,0.6153846154,0.0192539110,0.0373395566
0.9866917729,16,11,815,0.5925925926,0.0192539110,0.0372960373
0.9866743684,16,12,815,0.5714285714,0.0192539110,0.0372526193
0.9866547585,17,12,814,0.5862068966,0.0204572804,0.0395348837
0.9866542220,18,12,813,0.6000000000,0.0216606498,0.0418118467
0.9866429567,19,12,812,0.6129032258,0.0228640193,0.0440835267
0.9866391420,20,12,811,0.6250000000,0.0240673887,0.0463499421
0.9866175056,21,12,810,0.6363636364,0.0252707581,0.0486111111
0.9866127968,22,12,809,0.6470588235,0.0264741276,0.0508670520
0.9865998626,23,12,808,0.6571428571,0.0276774970,0.0531177829
0.9865961671,24,12,807,0.6666666667,0.0288808664,0.0553633218
0.9865654111,24,13,807,0.6486486486,0.0288808664,0.0552995392
0.9865595102,24,14,807,0.6315789474,0.0288808664,0.0552359033
0.9865496755,24,15,807,0.6153846154,0.0288808664,0.0551724138
0.9865487218,25,15,806,0.6250000000,0.0300842359,0.0574052813
0.9865429401,26,15,805,0.6341463415,0.0312876053,0.0596330275
0.9865419865,27,15,804,0.6428571429,0.0324909747,0.0618556701
0.9865390658,27,16,804,0.6279069767,0.0324909747,0.0617848970
0.9865379333,28,16,803,0.6363636364,0.0336943442,0.0640000000
0.9865359664,29,16,802,0.6444444444,0.0348977136,0.0662100457
0.9865338802,30,16,801,0.6521739130,0.0361010830,0.0684150513
0.9865275025,30,17,801,0.6382978723,0.0361010830,0.0683371298
0.9865260720,30,18,801,0.6250000000,0.0361010830,0.0682593857
0.9865128994,31,18,800,0.6326530612,0.0373044525,0.0704545455
0.9865119457,32,18,799,0.6400000000,0.0385078219,0.0726447219
0.9865069389,32,19,799,0.6274509804,0.0385078219,0.0725623583
0.9864966273,32,20,799,0.6153846154,0.0385078219,0.0724801812
0.9864965081,33,20,798,0.6226415094,0.0397111913,0.0746606335
0.9864770174,34,20,797,0.6296296296,0.0409145608,0.0768361582
0.9864739180,35,20,796,0.6363636364,0.0421179302,0.0790067720
0.9864718318,35,21,796,0.6250000000,0.0421179302,0.0789177001
0.9864643812,36,21,795,0.6315789474,0.0433212996,0.0810810811
0.9864267707,37,21,794,0.6379310345,0.0445246691,0.0832395951
0.9864252806,38,21,793,0.6440677966,0.0457280385,0.0853932584
0.9864161015,39,21,792,0.6500000000,0.0469314079,0.0875420875
0.9864140153,39,22,792,0.6393442623,0.0469314079,0.0874439462
0.9863866568,39,23,792,0.6290322581,0.0469314079,0.0873460246
0.9863846898,40,23,791,0.6349206349,0.0481347774,0.0894854586
0.9863733053,40,24,791,0.6250000000,0.0481347774,0.0893854749
0.9863712192,41,24,790,0.6307692308,0.0493381468,0.0915178571
0.9863706827,42,24,789,0.6363636364,0.0505415162,0.0936454849
0.9863697290,42,25,789,0.6268656716,0.0505415162,0.0935412027
0.9863659143,43,25,788,0.6323529412,0.0517448857,0.0956618465
0.9863505960,44,25,787,0.6376811594,0.0529482551,0.0977777778
0.9863363504,44,26,787,0.6285714286,0.0529482551,0.0976692564
0.9863312244,45,26,786,0.6338028169,0.0541516245,0.0997782705
0.9863219261,46,26,785,0.6388888889,0.0553549940,0.1018826135
0.9863173962,47,26,784,0.6438356164,0.0565583634,0.1039823009
0.9863167405,48,26,783,0.6486486486,0.0577617329,0.1060773481
0.9863025546,49,26,782,0.6533333333,0.0589651023,0.1081677704
0.9862797260,50,26,781,0.6578947368,0.0601684717,0.1102535832
0.9862729907,51,26,780,0.6623376623,0.0613718412,0.1123348018
0.9862674475,51,27,780,0.6538461538,0.0613718412,0.1122112211
0.9862662554,52,27,779,0.6582278481,0.0625752106,0.1142857143
0.9862616658,53,27,778,0.6625000000,0.0637785800,0.1163556531
0.9862504005,53,28,778,0.6543209877,0.0637785800,0.1162280702
0.9862380028,53,29,778,0.6463414634,0.0637785800,0.1161007667
0.9862306714,54,29,777,0.6506024096,0.0649819495,0.1181619256
0.9862252474,54,30,777,0.6428571429,0.0649819495,0.1180327869
0.9862241745,55,30,776,0.6470588235,0.0661853189,0.1200873362
0.9862236381,55,31,776,0.6395348837,0.0661853189,0.1199563795
0.9862155914,56,31,775,0.6436781609,0.0673886883,0.1220043573
0.9862132072,56,32,775,0.6363636364,0.0673886883,0.1218715996
0.9862061143,57,32,774,0.6404494382,0.0685920578,0.1239130435
0.9861968160,58,32,773,0.6444444444,0.0697954272,0.1259500543
0.9861965775,59,32,772,0.6483516484,0.0709987966,0.1279826464
0.9861806035,59,33,772,0.6413043478,0.0709987966,0.1278439870
0.9861754775,60,33,771,0.6451612903,0.0722021661,0.1298701299
0.9861721396,61,33,770,0.6489361702,0.0734055355,0.1318918919
0.9861578941,62,33,769,0.6526315789,0.0746089049,0.1339092873
0.9861567020,63,33,768,0.6562500000,0.0758122744,0.1359223301
0.9861503243,63,34,768,0.6494845361,0.0758122744,0.1357758621
0.9861302972,63,35,768,0.6428571429,0.0758122744,0.1356297094
0.9860956073,63,36,768,0.6363636364,0.0758122744,0.1354838710
0.9860937595,64,36,767,0.6400000000,0.0770156438,0.1374865736
0.9860867262,65,36,766,0.6435643564,0.0782190132,0.1394849785
0.9860846996,65,37,766,0.6372549020,0.0782190132,0.1393354770
0.9860808849,65,38,766,0.6310679612,0.0782190132,0.1391862955
0.9860807657,66,38,765,0.6346153846,0.0794223827,0.1411764706
0.9860791564,67,38,764,0.6380952381,0.0806257521,0.1431623932
0.9860708117,68,38,763,0.6415094340,0.0818291215,0.1451440768
0.9860700965,68,39,763,0.6355140187,0.0818291215,0.1449893390
0.9860580564,68,40,763,0.6296296296,0.0818291215,0.1448349308
0.9860578179,69,40,762,0.6330275229,0.0830324910,0.1468085106
0.9860499501,69,41,762,0.6272727273,0.0830324910,0.1466524973
0.9860358238,70,41,761,0.6306306306,0.0842358604,0.1486199575
0.9860312939,70,42,761,0.6250000000,0.0842358604,0.1484623542
0.9860302806,71,42,760,0.6283185841,0.0854392298,0.1504237288
0.9860288501,71,43,760,0.6228070175,0.0854392298,0.1502645503
0.9860275984,71,44,760,0.6173913043,0.0854392298,0.1501057082
0.9860253930,72,44,759,0.6206896552,0.0866425993,0.1520591341
0.9860233068,72,45,759,0.6153846154,0.0866425993,0.1518987342
0.9860120416,73,45,758,0.6186440678,0.0878459687,0.1538461538
0.9859953523,74,45,757,0.6218487395,0.0890493381,0.1557894737
0.9859946966,75,45,756,0.6250000000,0.0902527076,0.1577287066
0.9859914184,76,45,755,0.6280991736,0.0914560770,0.1596638655
0.9859900475,76,46,755,0.6229508197,0.0914560770,0.1594963274
0.9859867692,77,46,754,0.6260162602,0.0926594465,0.1614255765
0.9859760404,78,46,753,0.6290322581,0.0938628159,0.1633507853
0.9859712720,79,46,752,0.6320000000,0.0950661853,0.1652719665
0.9859647751,80,46,751,0.6349206349,0.0962695548,0.1671891327
0.9859636426,81,46,750,0.6377952756,0.0974729242,0.1691022965
0.9859566689,81,47,750,0.6328125000,0.0974729242,0.1689259645
0.9859542251,82,47,749,0.6356589147,0.0986762936,0.1708333333
0.9859511256,82,48,749,0.6307692308,0.0986762936,0.1706555671
0.9859502912,83,48,748,0.6335877863,0.0998796631,0.1725571726
0.9859479666,84,48,747,0.6363636364,0.1010830325,0.1744548287
0.9859457612,85,48,746,0.6390977444,0.1022864019,0.1763485477
0.9859387279,85,49,746,0.6343283582,0.1022864019,0.1761658031
0.9859268665,86,49,745,0.6370370370,0.1034897714,0.1780538302
0.9859266281,87,49,744,0.6397058824,0.1046931408,0.1799379524
0.9859241843,87,50,744,0.6350364964,0.1046931408,0.1797520661
0.9859151840,88,50,743,0.6376811594,0.1058965102,0.1816305470
0.9859141111,89,50,742,0.6402877698,0.1070998797,0.1835051546
0.9859063625,90,50,741,0.6428571429,0.1083032491,0.1853759011
0.9859035611,91,50,740,0.6453900709,0.1095066185,0.1872427984
0.9858928323,91,51,740,0.6408450704,0.1095066185,0.1870503597
0.9858877063,92,51,739,0.6433566434,0.1107099880,0.1889117043
0.9858875871,93,51,738,0.6458333333,0.1119133574,0.1907692308
0.9858747125,94,51,737,0.6482758621,0.1131167268,0.1926229508
0.9858733416,94,52,737,0.6438356164,0.1131167268,0.1924257932
0.9858607054,94,53,737,0.6394557823,0.1131167268,0.1922290389
0.9858524799,95,53,736,0.6418918919,0.1143200963,0.1940755873
0.9858477116,95,54,736,0.6375838926,0.1143200963,0.1938775510
0.9858474135,96,54,735,0.6400000000,0.1155234657,0.1957186544
0.9858468175,97,54,734,0.6423841060,0.1167268351,0.1975560081
0.9858404398,99,54,732,0.6470588235,0.1191335740,0.2012195122
0.9858377576,100,54,731,0.6493506494,0.1203369434,0.2030456853
0.9858334661,101,54,730,0.6516129032,0.1215403129,0.2048681542
0.9858312011,102,54,729,0.6538461538,0.1227436823,0.2066869301
0.9858201742,103,54,728,0.6560509554,0.1239470517,0.2085020243
0.9858155251,104,54,727,0.6582278481,0.1251504212,0.2103134479
0.9858140349,105,54,726,0.6603773585,0.1263537906,0.2121212121
0.9858133197,106,54,725,0.6625000000,0.1275571600,0.2139253280
0.9858111143,107,54,724,0.6645962733,0.1287605295,0.2157258065
0.9858021140,108,54,723,0.6666666667,0.1299638989,0.2175226586
0.9857918024,109,54,722,0.6687116564,0.1311672684,0.2193158954
0.9857816100,109,55,722,0.6646341463,0.1311672684,0.2190954774
0.9857786894,110,55,721,0.6666666667,0.1323706378,0.2208835341
0.9857769608,111,55,720,0.6686746988,0.1335740072,0.2226680040
0.9857763648,111,56,720,0.6646706587,0.1335740072,0.2224448898
0.9857757688,111,57,720,0.6607142857,0.1335740072,0.2222222222
0.9857730269,112,57,719,0.6627218935,0.1347773767,0.2240000000
0.9857695699,114,57,717,0.6666666667,0.1371841155,0.2275449102
0.9857689738,115,57,716,0.6686046512,0.1383874850,0.2293120638
0.9857675433,115,58,716,0.6647398844,0.1383874850,0.2290836653
0.9857475162,115,59,716,0.6609195402,0.1383874850,0.2288557214
0.9857395291,116,59,715,0.6628571429,0.1395908544,0.2306163022
0.9857387543,116,60,715,0.6590909091,0.1395908544,0.2303872890
0.9857262373,116,61,715,0.6553672316,0.1395908544,0.2301587302
0.9857178926,117,61,714,0.6573033708,0.1407942238,0.2319127849
0.9857112765,118,61,713,0.6592178771,0.1419975933,0.2336633663
0.9857058525,119,61,712,0.6611111111,0.1432009627,0.2354104847
0.9856932163,120,61,711,0.6629834254,0.1444043321,0.2371541502
0.9856890440,122,61,709,0.6666666667,0.1468110710,0.2406311637
0.9856874347,123,61,708,0.6684782609,0.1480144404,0.2423645320
0.9856864810,124,61,707,0.6702702703,0.1492178099,0.2440944882
0.9856810570,125,61,706,0.6720430108,0.1504211793,0.2458210423
0.9856775999,125,62,706,0.6684491979,0.1504211793,0.2455795678
0.9856764078,126,62,705,0.6702127660,0.1516245487,0.2473012758
0.9856750369,127,62,704,0.6719576720,0.1528279182,0.2490196078
0.9856699109,127,63,704,0.6684210526,0.1528279182,0.2487757101
0.9856666923,127,64,704,0.6649214660,0.1528279182,0.2485322896
0.9856557846,127,65,704,0.6614583333,0.1528279182,0.2482893451
0.9856510758,127,66,704,0.6580310881,0.1528279182,0.2480468750
0.9856467843,127,67,704,0.6546391753,0.1528279182,0.2478048780
0.9856453538,127,68,704,0.6512820513,0.1528279182,0.2475633528
0.9856337905,127,69,704,0.6479591837,0.1528279182,0.2473222980
0.9856260419,128,69,703,0.6497461929,0.1540312876,0.2490272374
0.9856255651,129,69,702,0.6515151515,0.1552346570,0.2507288630
0.9856201410,130,69,701,0.6532663317,0.1564380265,0.2524271845
0.9856158495,130,70,701,0.6500000000,0.1564380265,0.2521823472
0.9856116772,131,70,700,0.6517412935,0.1576413959,0.2538759690
0.9856073856,131,71,700,0.6485148515,0.1576413959,0.2536302033
0.9855958223,132,71,699,0.6502463054,0.1588447653,0.2553191489
0.9855873585,133,71,698,0.6519607843,0.1600481348,0.2570048309
0.9855830669,134,71,697,0.6536585366,0.1612515042,0.2586872587
0.9855794907,134,72,697,0.6504854369,0.1612515042,0.2584378014
0.9855769277,134,73,697,0.6473429952,0.1612515042,0.2581888247
0.9855743647,135,73,696,0.6490384615,0.1624548736,0.2598652551
0.9855616689,136,73,695,0.6507177033,0.1636582431,0.2615384615
0.9855560660,137,73,694,0.6523809524,0.1648616125,0.2632084534
0.9855461121,137,74,694,0.6492890995,0.1648616125,0.2629558541
0.9855428934,138,74,693,0.6509433962,0.1660649819,0.2646212848
0.9855182171,138,75,693,0.6478873239,0.1660649819,0.2643678161
0.9855176806,138,76,693,0.6448598131,0.1660649819,0.2641148325
0.9855115414,139,76,692,0.6465116279,0.1672683514,0.2657743786
0.9855056405,140,76,691,0.6481481481,0.1684717208,0.2674307545
0.9854896069,141,76,690,0.6497695853,0.1696750903,0.2690839695
0.9854826927,141,77,690,0.6467889908,0.1696750903,0.2688274547
0.9854822159,141,78,690,0.6438356164,0.1696750903,0.2685714286
0.9854764342,142,78,689,0.6454545455,0.1708784597,0.2702188392
0.9854566455,142,79,689,0.6425339367,0.1708784597,0.2699619772
0.9854552746,143,79,688,0.6441441441,0.1720818291,0.2716049383
0.9854273796,144,79,687,0.6457399103,0.1732851986,0.2732447818
0.9854267836,145,80,686,0.6444444444,0.1744885680,0.2746212121
0.9854248166,145,81,686,0.6415929204,0.1744885680,0.2743614002
0.9854211211,145,82,686,0.6387665198,0.1744885680,0.2741020794
0.9854156375,145,83,686,0.6359649123,0.1744885680,0.2738432483
0.9854143858,145,84,686,0.6331877729,0.1744885680,0.2735849057
0.9853703976,145,85,686,0.6304347826,0.1744885680,0.2733270500
