threshold,tp,fp,fn,precision,recall,f1
0.9889304042,1,0,900,1.0000000000,0.0011098779,0.0022172949
0.9888460040,2,0,899,1.0000000000,0.0022197558,0.0044296788
0.9888390899,3,0,898,1.0000000000,0.0033296337,0.0066371681
0.9888352752,4,0,897,1.0000000000,0.0044395117,0.0088397790
0.9887517095,5,0,896,1.0000000000,0.0055493896,0.0110375276
0.9887351394,6,0,895,1.0000000000,0.0066592675,0.0132304300
0.9886648655,7,0,894,1.0000000000,0.0077691454,0.0154185022
0.9886381030,8,0,893,1.0000000000,0.0088790233,0.0176017602
0.9886217713,9,0,892,1.0000000000,0.0099889012,0.0197802198
0.9886050224,10,0,891,1.0000000000,0.0110987791,0.0219538968
0.9885677099,11,0,890,1.0000000000,0.0122086570,0.0241228070
0.9885667562,12,0,889,1.0000000000,0.0133185350,0.0262869660
0.9885636568,13,0,888,1.0000000000,0.0144284129,0.0284463895
0.9885574579,14,0,887,1.0000000000,0.0155382908,0.0306010929
0.9885572195,15,0,886,1.0000000000,0.0166481687,0.0327510917
0.9885123968,16,0,885,1.0000000000,0.0177580466,0.0348964013
0.9885061979,17,0,884,1.0000000000,0.0188679245,0.0370370370
0.9884883761,18,0,883,1.0000000000,0.0199778024,0.0391730141
0.9884457588,19,0,882,1.0000000000,0.0210876804,0.0413043478
0.9884303808,20,0,881,1.0000000000,0.0221975583,0.0434310532
0.9884145260,21,0,880,1.0000000000,0.0233074362,0.0455531453
0.9883771539,22,0,879,1.0000000000,0.0244173141,0.0476706392
0.9883511662,23,0,878,1.0000000000,0.0255271920,0.0497835498
0.9883457422,24,0,877,1.0000000000,0.0266370699,0.0518918919
0.9882810712,25,0,876,1.0000000000,0.0277469478,0.0539956803
0.9882166982,26,0,875,1.0000000000,0.0288568257,0.0560949299
0.9882164598,27,0,874,1.0000000000,0.0299667037,0.0581896552
0.9882161021,28,0,873,1.0000000000,0.0310765816,0.0602798708
0.9882116914,29,0,872,1.0000000000,0.0321864595,0.0623655914
0.9882035851,30,0,871,1.0000000000,0.0332963374,0.0644468314
0.9882004261,31,0,870,1.0000000000,0.0344062153,0.0665236052
0.9881518483,32,0,869,1.0000000000,0.0355160932,0.0685959271
0.9881476760,33,0,868,1.0000000000,0.0366259711,0.0706638116
0.9881457090,34,0,867,1.0000000000,0.0377358491,0.0727272727
0.9881190658,35,0,866,1.0000000000,0.0388457270,0.0747863248
0.9881165028,36,0,865,1.0000000000,0.0399556049,0.0768409819
0.9880556464,37,0,864,1.0000000000,0.0410654828,0.0788912580
0.9880379438,38,0,863,1.0000000000,0.0421753607,0.0809371672
0.9880229235,39,0,862,1.0000000000,0.0432852386,0.0829787234
0.9879671931,40,0,861,1.0000000000,0.0443951165,0.0850159405
0.9878873825,41,0,860,1.0000000000,0.0455049945,0.0870488323
0.9878484011,42,0,859,1.0000000000,0.0466148724,0.0890774125
0.9878367782,43,0,858,1.0000000000,0.0477247503,0.0911016949
0.9878157973,44,0,857,1.0000000000,0.0488346282,0.0931216931
