threshold,tp,fp,fn,precision,recall,f1
0.9876416922,1,0,675,1.0000000000,0.0014792899,0.0029542097
0.9871932864,2,0,674,1.0000000000,0.0029585799,0.0058997050
0.9871706367,3,0,673,1.0000000000,0.0044378698,0.0088365243
0.9870477319,4,0,672,1.0000000000,0.0059171598,0.0117647059
0.9867260456,5,0,671,1.0000000000,0.0073964497,0.0146842878
0.9864743352,6,0,670,1.0000000000,0.0088757396,0.0175953079
0.9864637852,7,0,669,1.0000000000,0.0103550296,0.0204978038
0.9864209890,8,0,668,1.0000000000,0.0118343195,0.0233918129
0.9864039421,9,0,667,1.0000000000,0.0133136095,0.0262773723
0.9863542914,10,0,666,1.0000000000,0.0147928994,0.0291545190
0.9862418175,11,0,665,1.0000000000,0.0162721893,0.0320232897
0.9860658646,12,0,664,1.0000000000,0.0177514793,0.0348837209
0.9859608412,13,0,663,1.0000000000,0.0192307692,0.0377358491
0.9859474897,14,0,662,1.0000000000,0.0207100592,0.0405797101
0.9858623147,15,0,661,1.0000000000,0.0221893491,0.0434153401
0.9857715368,16,0,660,1.0000000000,0.0236686391,0.0462427746
0.9857257605,17,0,659,1.0000000000,0.0251479290,0.0490620491
0.9856852293,18,0,658,1.0000000000,0.0266272189,0.0518731988
0.9856292605,19,0,657,1.0000000000,0.0281065089,0.0546762590
0.9856222272,20,0,656,1.0000000000,0.0295857988,0.0574712644
0.9854787588,21,0,655,1.0000000000,0.0310650888,0.0602582496
0.9854248166,22,0,654,1.0000000000,0.0325443787,0.0630372493
0.9852991104,23,0,653,1.0000000000,0.0340236686,0.0658082976
0.9852980375,24,0,652,1.0000000000,0.0355029586,0.0685714286
0.9852694869,24,1,652,0.9600000000,0.0355029586,0.0684736091
0.9852634668,25,1,651,0.9615384615,0.0369822485,0.0712250712
0.9852049351,26,1,650,0.9629629630,0.0384615385,0.0739687055
0.9851456881,27,1,649,0.9642857143,0.0399408284,0.0767045455
0.9851148725,28,1,648,0.9655172414,0.0414201183,0.0794326241
0.9849862456,29,1,647,0.9666666667,0.0428994083,0.0821529745
0.9849365354,30,1,646,0.9677419355,0.0443786982,0.0848656294
0.9849239588,31,1,645,0.9687500000,0.0458579882,0.0875706215
0.9847947955,32,1,644,0.9696969697,0.0473372781,0.0902679831
0.9847691059,33,1,643,0.9705882353,0.0488165680,0.0929577465
0.9846585989,34,1,642,0.9714285714,0.0502958580,0.0956399437
0.9845259190,35,1,641,0.9722222222,0.0517751479,0.0983146067
0.9840729833,36,1,640,0.9729729730,0.0532544379,0.1009817672
0.9840605259,37,1,639,0.9736842105,0.0547337278,0.1036414566
0.9838549495,38,1,638,0.9743589744,0.0562130178,0.1062937063
0.9838488102,39,1,637,0.9750000000,0.0576923077,0.1089385475
0.9838092327,39,2,637,0.9512195122,0.0576923077,0.1087866109
0.9837238789,40,2,636,0.9523809524,0.0591715976,0.1114206128
0.9836946726,41,2,635,0.9534883721,0.0606508876,0.1140472879
0.9836626053,42,2,634,0.9545454545,0.0621301775,0.1166666667
0.9836380482,43,2,633,0.9555555556,0.0636094675,0.1192787795
0.9834670424,44,2,632,0.9565217391,0.0650887574,0.1218836565
0.9834649563,45,2,631,0.9574468085,0.0665680473,0.1244813278
0.9834190607,46,2,630,0.9583333333,0.0680473373,0.1270718232
0.9833821654,47,2,629,0.9591836735,0.0695266272,0.1296551724
0.9831373692,48,2,628,0.9600000000,0.0710059172,0.1322314050
0.9831010699,49,2,627,0.9607843137,0.0724852071,0.1348005502
