threshold,tp,fp,fn,precision,recall,f1
0.9886355400,1,0,838,1.0000000000,0.0011918951,0.0023809524
0.9881924987,2,0,837,1.0000000000,0.0023837902,0.0047562426
0.9878647923,3,0,836,1.0000000000,0.0035756853,0.0071258907
0.9878193140,4,0,835,1.0000000000,0.0047675805,0.0094899170
0.9877656698,5,0,834,1.0000000000,0.0059594756,0.0118483412
0.9876896143,6,0,833,1.0000000000,0.0071513707,0.0142011834
0.9876769781,7,0,832,1.0000000000,0.0083432658,0.0165484634
0.9876341820,8,0,831,1.0000000000,0.0095351609,0.0188902007
0.9876284599,9,0,830,1.0000000000,0.0107270560,0.0212264151
0.9875103235,10,0,829,1.0000000000,0.0119189511,0.0235571260
0.9875062704,11,0,828,1.0000000000,0.0131108462,0.0258823529
0.9874877930,12,0,827,1.0000000000,0.0143027414,0.0282021152
0.9874604940,13,0,826,1.0000000000,0.0154946365,0.0305164319
0.9874487519,14,0,825,1.0000000000,0.0166865316,0.0328253224
0.9874321222,15,0,824,1.0000000000,0.0178784267,0.0351288056
0.9874231815,16,0,823,1.0000000000,0.0190703218,0.0374269006
0.9874137640,17,0,822,1.0000000000,0.0202622169,0.0397196262
0.9874110818,18,0,821,1.0000000000,0.0214541120,0.0420070012
0.9873981476,19,0,820,1.0000000000,0.0226460072,0.0442890443
0.9873275161,20,0,819,1.0000000000,0.0238379023,0.0465657742
0.9873254299,21,0,818,1.0000000000,0.0250297974,0.0488372093
0.9873071909,22,0,817,1.0000000000,0.0262216925,0.0511033682
0.9872997403,23,0,816,1.0000000000,0.0274135876,0.0533642691
0.9872885942,24,0,815,1.0000000000,0.0286054827,0.0556199305
0.9872801900,25,0,814,1.0000000000,0.0297973778,0.0578703704
0.9872773290,26,0,813,1.0000000000,0.0309892729,0.0601156069
0.9872673154,27,0,812,1.0000000000,0.0321811681,0.0623556582
0.9871953726,28,0,811,1.0000000000,0.0333730632,0.0645905421
0.9871894717,29,0,810,1.0000000000,0.0345649583,0.0668202765
0.9871782064,30,0,809,1.0000000000,0.0357568534,0.0690448792
0.9871205688,31,0,808,1.0000000000,0.0369487485,0.0712643678
0.9871076941,32,0,807,1.0000000000,0.0381406436,0.0734787600
0.9870228171,33,0,806,1.0000000000,0.0393325387,0.0756880734
0.9869905114,34,0,805,1.0000000000,0.0405244338,0.0778923253
0.9869820476,35,0,804,1.0000000000,0.0417163290,0.0800915332
0.9869441986,36,0,803,1.0000000000,0.0429082241,0.0822857143
0.9869088531,37,0,802,1.0000000000,0.0441001192,0.0844748858
0.9869055152,38,0,801,1.0000000000,0.0452920143,0.0866590650
0.9868734479,39,0,800,1.0000000000,0.0464839094,0.0888382688
0.9868489504,40,0,799,1.0000000000,0.0476758045,0.0910125142
0.9868363142,41,0,798,1.0000000000,0.0488676996,0.0931818182
0.9867996573,42,0,797,1.0000000000,0.0500595948,0.0953461975
0.9867653847,43,0,796,1.0000000000,0.0512514899,0.0975056689
0.9867179394,44,0,795,1.0000000000,0.0524433850,0.0996602492
0.9867177010,45,0,794,1.0000000000,0.0536352801,0.1018099548
0.9866891503,46,0,793,1.0000000000,0.0548271752,0.1039548023
