id,seq
134,"FileAST FuncDef Decl FuncDecl ParamList Decl argc int Decl PtrDecl PtrDecl argv char main int Compound Decl n int Decl i int Decl PtrDecl q int Decl PtrDecl p int Decl PtrDecl r int Decl st double = n 10000000 = p FuncCall malloc ExprList * sizeof * p n = q FuncCall malloc ExprList * sizeof * q n = r FuncCall malloc ExprList * sizeof * r n For = i 0 < i n ++ i Compound = ArrayRef p i - % FuncCall rand 1000000 500000 = ArrayRef q i + % FuncCall rand 1000000 1 End = st FuncCall ntime For = i 0 < i 100 ++ i FuncCall timediv ExprList n p q r FuncCall printf ExprList ""%g\n"" - FuncCall ntime st Return 0 End"
24,FileAST FuncDef Decl FuncDecl foo void Compound DoWhile 0 Compound If ! FuncCall executestepa Break If ! FuncCall executestepb Break If ! FuncCall executestepc Break End End
185,FileAST FuncDef Decl FuncDecl ParamList Decl PtrDecl first char Decl PtrDecl second char PtrDecl concat char Compound Decl PtrDecl p1 char first While * p1 Compound ++ p1 End Decl PtrDecl p2 char second While * p2 Compound ++ p2 End Decl PtrDecl string char FuncCall malloc ExprList + + - p1 first - p2 second 1 If string Compound Decl PtrDecl ps char string While = * ps * ++ first Compound ++ ps End While = * ps * ++ second Compound ++ ps End End Return string End
147,"FileAST FuncDef Decl FuncDecl main int Compound Decl x int Decl sa sigaction = StructRef sa sa_handler handler FuncCall sigemptyset ExprList & StructRef sa sa_mask = StructRef sa sa_flags 0 FuncCall sigaction ExprList sigalrm & sa null FuncCall alarm ExprList 5 If == FuncCall scanf ExprList ""%d"" & x 1 Compound FuncCall printf ExprList ""%d\n"" x FuncCall alarm ExprList 0 End Compound FuncCall printf ExprList ""timedout\n"" End Return 0 End"
103,"FileAST FuncDef Decl FuncDecl ParamList Decl argc int Decl ArrayDecl PtrDecl argv char main int Compound Decl PtrDecl buf char ""add 56 89 29"" Decl sum int 0 If ! FuncCall strncmp ExprList buf ""add"" 3 Compound += buf 3 While != * buf '\0' Compound If == FuncCall isdigit ExprList * buf 0 Compound ++ buf Continue End Decl digit int Decl num int 0 While FuncCall isdigit ExprList * buf Compound = digit - Cast Typename TypeDecl int * buf 48 = num + * num 10 digit ++ buf End += sum num FuncCall printf ExprList ""Current no: %d\t Sum: %d\n"" num sum End End Return 0 End"
215,FileAST FuncDef Decl FuncDecl ParamList Decl x int mod25 int Compound Decl ArrayDecl divisors int InitList 2147483625 244140625 9765625 390625 15625 625 25 Decl i int For = i 0 < i / sizeof divisors sizeof Typename TypeDecl int ++ i Compound Decl divisor int ArrayRef divisors i While >= x divisor Compound -= x divisor End End Return x End
20,"FileAST FuncDef Decl FuncDecl main int Compound Decl rc int Decl answer int 0 FuncCall printf ExprList ""A number between 1 && 5: "" = rc FuncCall scanf ExprList ""%i"" & answer If || || || == rc eof == rc 0 > answer 5 <= answer 0 Compound FuncCall fprintf ExprList stderr ""Only numbers between 1 && 5, please.\n"" Return - 99 End Compound FuncCall printf ExprList ""You entered: %d\n"" answer Return 0 End End"
160,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl i int Decl l int Decl m int Decl upper int 1 Decl c char Decl ArrayDecl buff char ""this is a simple string"" = l FuncCall strlen ExprList buff FuncCall printf ExprList ""Original string:\n\t'%s'\n\n"" buff For = i 0 < i l ++ i Compound If upper = ArrayRef buff i FuncCall toupper ExprList ArrayRef buff i = upper FuncCall isspace ExprList ArrayRef buff i End FuncCall printf ExprList ""Capitalized:\n\t'%s'\n\n"" buff For = i 0 < i / l 2 ++ i Compound = c ArrayRef buff i = ArrayRef buff i ArrayRef buff - l + i 1 = ArrayRef buff - l + i 1 c End FuncCall printf ExprList ""Reversed:\n\t'%s'\n\n"" buff Return 0 End"
98,"FileAST FuncDef Decl FuncDecl ParamList Typename TypeDecl void main int Compound Decl x group FuncCall srand ExprList FuncCall time ExprList 0 For DeclList Decl k int 0 < k 20 ++ k Compound = x FuncCall f1 Switch StructRef x lastunionmember Compound Default FuncCall printf ExprList ""invalid value\n"" Break Case 1 FuncCall printf ExprList ""int value is %d\n"" * StructRef StructRef x x intp Break Case 2 FuncCall printf ExprList ""string is \""%s\""\n"" StructRef StructRef x x charp Break Case 3 FuncCall printf ExprList ""double value is %f\n"" StructRef StructRef x x doublev Break End End End"
7,"FileAST FuncDef Decl FuncDecl main int Compound Decl i int 1 Decl fibonacci int 1 DoWhile <= fibonacci 100 Compound FuncCall printf ExprList ""The %2dst Fibonacci number is %3d\n"" i fibonacci = fibonacci FuncCall fibonacci ExprList ++ i End Return 0 End"
