u,v,score,label
cand_022526.cpp,cand_164198.cpp,0.4408380091190338,0
cand_171771.cpp,cand_271264.cpp,0.5265006422996521,0
cand_093870.cpp,cand_176971.cpp,0.5031086802482605,0
cand_055351.cpp,cand_131153.cpp,0.41108447313308716,0
cand_024152.cpp,cand_148898.cpp,0.416460782289505,0
cand_067358.cpp,cand_076180.cpp,0.5209296345710754,0
cand_252505.cpp,cand_267110.cpp,0.5013116598129272,0
cand_259693.cpp,cand_262492.cpp,0.48668110370635986,0
cand_020863.cpp,cand_088399.cpp,0.30500665307044983,0
cand_101700.cpp,cand_297739.cpp,0.5045596361160278,0
cand_134841.cpp,cand_145427.cpp,0.4068641662597656,0
cand_100646.cpp,cand_161071.cpp,0.4051656424999237,0
cand_237690.cpp,cand_250864.cpp,0.36797913908958435,0
cand_096864.cpp,cand_130507.cpp,0.4553959369659424,0
cand_021016.cpp,cand_176492.cpp,0.4478178918361664,0
cand_265399.cpp,cand_266441.cpp,0.5626661777496338,0
cand_028309.cpp,cand_110981.cpp,0.553658664226532,0
cand_057101.cpp,cand_201298.cpp,0.4226903021335602,0
cand_084005.cpp,cand_086543.cpp,0.5208747386932373,0
cand_088409.cpp,cand_190821.cpp,0.4681873917579651,0
cand_130474.cpp,cand_152712.cpp,0.4118667244911194,0
cand_033807.cpp,cand_240080.cpp,0.47125765681266785,0
cand_067459.cpp,cand_138380.cpp,0.4777226448059082,0
cand_157571.cpp,cand_194342.cpp,0.48414555191993713,0
cand_267135.cpp,cand_271573.cpp,0.561628520488739,0
cand_073335.cpp,cand_165210.cpp,0.4283306896686554,0
cand_111102.cpp,cand_150371.cpp,0.4745064079761505,0
cand_266425.cpp,cand_266995.cpp,0.5431169271469116,0
cand_049822.cpp,cand_173559.cpp,0.5099807381629944,0
cand_006248.cpp,cand_119469.cpp,0.4802514612674713,0
cand_057337.cpp,cand_090045.cpp,0.5193301439285278,0
cand_031853.cpp,cand_091379.cpp,0.5659703016281128,0
cand_053902.cpp,cand_245545.cpp,0.42404958605766296,0
cand_089790.cpp,cand_113716.cpp,0.49317461252212524,0
cand_266343.cpp,cand_267092.cpp,0.5385341644287109,0
cand_152476.cpp,cand_217276.cpp,0.48659151792526245,0
cand_154210.cpp,cand_176426.cpp,0.464995801448822,0
cand_056660.cpp,cand_253770.cpp,0.37850913405418396,0
cand_264614.cpp,cand_267015.cpp,0.5082013010978699,0
cand_113710.cpp,cand_163669.cpp,0.44818001985549927,0
cand_266427.cpp,cand_267065.cpp,0.5358588099479675,0
cand_053825.cpp,cand_053826.cpp,0.5639622211456299,0
cand_113806.cpp,cand_168184.cpp,0.4917653501033783,0
cand_051656.cpp,cand_138914.cpp,0.36701279878616333,0
cand_176068.cpp,cand_193275.cpp,0.4167398512363434,0
cand_024290.cpp,cand_031927.cpp,0.21037174761295319,0
cand_052250.cpp,cand_168551.cpp,0.5444825291633606,0
cand_266448.cpp,cand_267064.cpp,0.5440066456794739,0
cand_266407.cpp,cand_267019.cpp,0.5385064482688904,0
cand_024336.cpp,cand_093409.cpp,0.5431529879570007,0
cand_016871.cpp,cand_078599.cpp,0.4996335804462433,0
cand_063338.cpp,cand_091508.cpp,0.4950810670852661,0
cand_128054.cpp,cand_283400.cpp,0.2633107304573059,0
cand_033887.cpp,cand_033889.cpp,0.4418196976184845,0
cand_149931.cpp,cand_157365.cpp,0.5422013401985168,0
cand_057074.cpp,cand_057807.cpp,0.20137199759483337,0
cand_007706.cpp,cand_114857.cpp,0.5230919122695923,0
cand_267166.cpp,cand_268681.cpp,0.47417375445365906,0
cand_138940.cpp,cand_247525.cpp,0.44157832860946655,0
cand_096014.cpp,cand_108647.cpp,0.5386159420013428,0
